CUSTOMERS,AIRLINES,,,,,ISSUE 24JAM,HOTEL,TRAIN / BUS / TRAVEL,RENT CAR,REISSUE FEE,MATERAI,TAKEOVER PAYMENT,INSURANCE,NOTE,
,INTERNASIONAL,DOMESTIC,,,,,,,,,,,,,
,,GARUDA,"OTHER AIRLINES (LION, SJ, CITILINK)","LCC (AIR ASIA, PELITA AIR, TRANSNUSA, SCOOT)","PERINTIS AIRLINE (TRIGANA, SUSI AIR, EXPRESS AIR)",,,,,,,,,,
BPJS KESEHATAN CABANG JAKARTA BARAT,UP 2% FROM TOTAL,UP 1% FROM TOTAL (SERVICE FEE),ON THE TICKET,"UP 45,000 PER TIKET (SERVICE FEE)","UP 45,000 PER TIKET (SERVICE FEE)",-,"DOMESTIC : UP 50,000 (SERVICE FEE)","UP 25,000","DOMESTIC : UP 50,000/DAY","DOMESTIC : 50,000/TIKET  (SERVICE FEE)",NO,,,,
,,,,,,,,,,"INTL : 75,000/TIKET (SERVICE FEE)",,,,,
BPJS Kesehatan Jakarta Utara,,UP 1% FROM TOTAL (SERVICE FEE),ON THE TICKET,"UP 20,000/WAY","UP 20,000/WAY",-,-,"UP 30,000 FROM TOTAL (SERVICE FEE)","DOMESTIC : UP 50,000/DAY",,,,,,
BPJS Kesehatan Pusat (Head Office),UP 1% FROM TOTAL (SERVICE FEE) ,UP 1% FROM TOTAL (SERVICE FEE),ON THE TICKET,On the Ticket,UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),,,,,,,
BPJS Kesehatan Cibinong,,UP 2% FROM TOTAL (SERVICE FEE),ON THE TICKET,On the Ticket,,,,,,,-,,,,
BPJS Kesehatan KC Prima,,UP 2% FROM TOTAL (SERVICE FEE),ON THE TICKET,On the Ticket,,,,,,,-,,,,
BPJS Kesehatan Jakarta Timur,UP 2% FROM TOTAL (SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),ON THE TICKET,"UP 30,000 PER WAY","UP 30,000 PER WAY",,"DOMESTIC : UP 40,000 (SERVICE FEE)","UP 30,000 PER WAY",,"DOMESTIC : 50,000 (SERVICE FEE)",,,,,
,,,,,,-,"INTERNATIONAL : UP 75,000 (SERVICE FEE)",,,"INTL : 250,000 (SERVICE FEE)",,,,,
BPJS Kesehatan Bekasi,,UP 1% FROM TOTAL (SERVICE FEE),ON THE TICKET,On the Ticket,,,,,,,-,,,,
BPJS Kesehatan Serang,,UP 1% FROM TOTAL (SERVICE FEE),ON THE TICKET,"UP 20,000 PER TICKET (SERVICE FEE)","UP 20,000 PER TICKET (SERVICE FEE)",-,-,"UP 30,000 (SERVICE FEE)",-,,-,,,,
BPJS Kesehatan Tasikmalaya,,UP 1% FROM TOTAL (SERVICE FEE),,1%,1%,,,,,,,,,,
BPJS KESEHATAN TIGARAKSA,,UP 1% FROM TOTAL (SERVICE FEE),ON THE TICKET,ON THE TICKET,,-,,"UP 30,000 (SERVICE FEE) + PPN",,,-,,,,
BPJS Kesehatan Kepwil,,"UP 1,5% FROM TOTAL (SERVICE FEE)",ON THE TICKET,On the Ticket,,,,,,,-,,,,
BPJS Kesehatan Tangerang,,UP 1% FROM TOTAL (SERVICE FEE),ON THE TICKET,"UP 20,000 PER WAY","UP 20,000 PER WAY",-,,"UP 30,000 (SERVICE FEE) + PPN",,,,,,,
BPJS Kesehatan Depok,,UP 2% FROM TOTAL (SERVICE FEE),ON THE TICKET,On the Ticket,,,,,,,-,,,,
BPJS KESEHATAN CABANG BOGOR,,UP 1% FROM TOTAL (SERVICE FEE),ON THE TICKET,"UP 30,000 PER WAY (SERVICE FEE)","UP 30,000 PER WAY (SERVICE FEE)",-,"DOMESTIC : UP 35,000 (SERVICE FEE)","TRAIN : UP 30,000 (SERVICE FEE)","UP 40,000/DAY (SERVICE FEE)","DOMESTIC : 40,000/TIKET  (SERVICE FEE)",NO,,,,
,,,,,,,,"TRAVEL / BUS : 20,000 (SERVICE FEE)",,,,,,,
BLUEBIRD,UP 4%,UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER WAY (MARK UP)",,,-,"UP 30,000",,-,-,,,,
BAKRIE SWASAKTI UTAMA,UP 4%,UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER WAY (MARK UP)",,,-,"UP 30,000",,-,-,,,,
CARDIG,UP 4% FROM TOTAL (MARKUP),UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER TIKET (MARK UP)","UP 50,000 PER TIKET (MARK UP)",,MARKUP,"UP 30,000","DOMESTIC : UP 50,000/DAY (SERVICE FEE)",MARKUP,NO,5%,,,
,,,,,,-,,,"INTL : UP 100,000/DAY (SERVICE FEE)",,,,,,
CGV,UP 4% FROM TOTAL (SERVICE FEE),UP 2% FROM TOTAL (SERVICE FEE),ON THE TICKET,"UP 50,000 PER TIKET (SERVICE FEE)","UP 50,000 PER TIKET (SERVICE FEE)",-,"DOMESTIC : UP 40,000 (SERVICE FEE)","UP 30,000 SERVICE FEE)","DOMESTIC : UP 50,000/DAY (SERVICE FEE)","DOMESTIC : UP 50,000 (SERVICE FEE)",NO,5%,,,
,,,,,,,"INTL : UP 75,000 (SERVICE FEE)",,"INTL : UP 100,000/DAY (SERVICE FEE)","INTL : 75,000/TIKET (SERVICE FEE)",,,,,
CSUL,UP 4% FROM TOTAL (MARKUP),UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER TIKET (MARK UP)","UP 50,000 PER TIKET (MARK UP)",-,MARKUP,"UP 30,000 (MARKUP)",MARKUP,MARKUP,NO,,,,
,,,,,,,,,,,,,,,
DANAREKSA (BRI MI),UP 3% FROM TOTAL (SERVICE FEE),UP 3% FROM BASIC (SERVICE FEE),ON THE TICKET,"UP 50,000 PER TIKET (SERVICE FEE)","UP 50,000 PER TIKET (SERVICE FEE)",-,"DOMESTIC : UP 40,000 (SERVICE FEE)","UP 30,000 (SERVICE FEE)","DOMESTIC : UP 50,000/DAY (SERVICE FEE)","DOMESTIC : UP 50,000 (SERVICE FEE)",NO,,,,
,,,,,,,"INTL : UP 75,000 (SERVICE FEE)",,"INTL : UP 100,000/DAY (SERVICE FEE)","INTL : 75,000 (SERVICE FEE)",,,,,
DIMENSIO,UP 4% FROM TOTAL (MARKUP),UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER TIKET (MARK UP)","UP 50,000 PER TIKET (MARK UP)",-,MARKUP,"UP 30,000 (MARKUP)",,MARKUP,NO,,,,
